,Nome,Preço,Descrição,Restaurante,link,Tempo Entrega,Frete,Distância,Reviews,Categoria
0,Brasil,"34,90","Pao, Hamburguer De 150g (angus) cheddar,Waffles De Batata Fritas, Alface Tomate, e a Nossa Deliciosa Maionese Hamburguinho",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
1,Mexico,"34,90","Pao,Hamburguer De 150g(Angus) cheddar, jalapeno, Tomate,Doritos Cebola Roxa e maionese, hamburguinho",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
2,Australia,"35,90","Pao, Australiano Hamburguer 150g (Angus) Cheddar,Onion Rings, Cebola Caramelizada,Molho Barbecue, e Mmaionese hamburguinho",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
3,Estados Unidos,"34,90","Pao,hamburguer de 150g (Angus) Cheddar Picles, Alface, Tomate Cebola Roxa Bacon e Maionese hamburguinho",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
4,Burguer Fabuloso,"29,10","Hambúrguer de 150gr Angus sevido com queijo cheddar, alface Julienne, cebola roxa picada e o novo molho Hamburguinho.",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
5,Onion Rings Cheddar ( Novidade ),"30,88","O novo lanhe do Hamburguinho chegou ! Delicioso hambúrguer de carne Angus 150 gramas , servido com cheddar inglês , Onion Rings e maionese hamburguinho .",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
6,Supremo Hamburguinho,"32,61","Pão Australiano, Hamburguer De 150g (Angus), Cebola Caramelizada, Cheddar, Bacon, Maionese Hamburguinho",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
7,X Cheddar Jalapena ( Novidade ),"30,57","Delicioso hambúrguer 150 g ( Angus ) servido com queijo Cheddar inglês , rúcula ,cebola roxa , regado com pimenta jalapeno e maionese hamburguinho .",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
8,"Big,Hamburguinho","38,01","Hamburguer,150 Gramas,De Carne,Angus,Queijo Prato,Cebola Frita ,Alface,Tomate,Ovo,Bacon,Picles,E A Nossa,Deliciosa Maionese Caseira",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
9,Porta de estadio,"28,70","Pao, Hamburguer de calabresa queijo prato vinagrete e maionese hamburguinho",Hamburguinho Higienópolis,https://www.ifood.com.br/delivery/sao-paulo-sp/hamburguinho-higienopolis-santa-cecilia/afeef31a-10d0-4e4e-b9cc-1fc0d13a690b,45-55 min,Grátis,1.5 km,4.8,Lanches
